plant ID;population;fertilisation;nLeaves1;LongestLeaf1_Cm;Glucosinolates1_[µmol/ g dry weight];HsGlucosinolates1;nPathogenSpots1;nHerbivores1;HsHerbivores1;LeafHerbivory1_Cons_[mm_];nPredators1;status
PA_01;12PA;high;17;29,6;54,234;1,103;14;42;1,227;224;9;naturalised
PA_02;12PA;low;17;22,5;45,896;1,301;24;25;1,622;2;7;naturalised
PA_03;12PA;high;22;27,1;61,45;1,184;9;36;2,259;272;5;naturalised
PA_04;12PA;low;11;18,7;24,787;0,278;3;14;1,73;6;10;naturalised
PA_05;12PA;high;26;22,8;14,733;1,461;6;18;1,725;7;13;naturalised
PA_06;12PA;low;37;20,1;19,592;1,574;5;12;1,633;4;5;naturalised
PA_07;12PA;high;22;27,9;36,053;1,536;17;38;1,306;103;18;naturalised
PA_08;12PA;low;14;24,7;13,736;0,914;9;35;1,179;8;8;naturalised
PA_09;12PA;high;21;31,1;32,02;1,815;7;60;1,735;52;21;naturalised
PA_10;12PA;low;17;25,5;22,865;0,556;11;15;1,507;52;2;naturalised
PA_11;12PA;high;15;26,4;33,727;0,763;49;33;1,085;93;8;naturalised
PA_12;12PA;low;22;30,8;38,435;0,916;23;49;1,712;590;3;naturalised
